Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Percent Change,Close_MA_3,Close_STD_3,Volume_MA_3,Volume_Spike,Down_Trend,Consecutive_Drops,Trust Score
2024-03-06 15:30:00-05:00,88.32,88.75,87.64,88.74,19538149.0,0.0,0.0,0.5,88.78,0.5,9685344.33,1.0,0.0,2.0,9.0
2024-03-07 09:30:00-05:00,90.16,91.6,89.6,91.55,19158572.0,0.0,0.0,3.16,89.53,1.76,14316754.0,0.0,0.0,1.0,9.0
2024-03-07 10:30:00-05:00,91.57,92.28,91.16,92.14,9127707.0,0.0,0.0,0.65,90.81,1.82,15941476.0,0.0,0.0,0.0,10.0
2024-03-07 11:30:00-05:00,92.15,92.15,91.55,91.71,5457234.0,0.0,0.0,-0.47,91.8,0.31,11247837.67,0.0,1.0,1.0,10.0
2024-03-07 12:30:00-05:00,91.7,91.98,91.31,91.87,4496263.0,0.0,0.0,0.18,91.91,0.22,6360401.33,0.0,0.0,1.0,10.0
2024-03-07 13:30:00-05:00,91.88,92.5,91.73,92.37,5376423.0,0.0,0.0,0.54,91.98,0.34,5109973.33,0.0,0.0,1.0,10.0
2024-03-07 14:30:00-05:00,92.39,92.5,91.65,92.21,6114571.0,0.0,0.0,-0.18,92.15,0.25,5329085.67,0.0,1.0,1.0,10.0
2024-03-07 15:30:00-05:00,92.21,92.77,92.14,92.67,5331304.0,0.0,0.0,0.51,92.42,0.24,5607432.67,0.0,0.0,1.0,10.0
2024-03-08 09:30:00-05:00,94.8,97.21,94.62,97.21,21881251.0,0.0,0.0,4.89,94.03,2.76,11109042.0,0.0,0.0,1.0,9.0
2024-03-08 10:30:00-05:00,97.22,97.4,90.16,90.5,25042101.0,0.0,0.0,-6.9,93.46,3.42,17418218.67,0.0,1.0,1.0,7.0
2024-03-08 11:30:00-05:00,90.5,91.46,88.06,89.58,21364970.0,0.0,0.0,-1.02,92.43,4.17,22762774.0,0.0,1.0,2.0,7.0
2024-03-08 12:30:00-05:00,89.58,90.08,87.08,87.61,12407589.0,0.0,0.0,-2.2,89.23,1.48,19604886.67,0.0,1.0,3.0,7.0
2024-03-08 13:30:00-05:00,87.59,88.49,86.51,88.14,11312076.0,0.0,0.0,0.61,88.44,1.02,15028211.67,0.0,0.0,2.0,10.0
2024-03-08 14:30:00-05:00,88.18,89.37,87.79,88.06,10693960.0,0.0,0.0,-0.1,87.93,0.29,11471208.33,0.0,1.0,2.0,10.0
2024-03-08 15:30:00-05:00,88.02,88.52,87.42,87.5,5829805.0,0.0,0.0,-0.63,87.9,0.35,9278613.67,0.0,1.0,2.0,10.0
2024-03-11 09:30:00-04:00,87.6,87.6,84.17,87.08,23147114.0,0.0,0.0,-0.49,87.54,0.49,13223626.33,0.0,1.0,3.0,8.0
2024-03-11 10:30:00-04:00,87.11,88.8,86.7,86.72,12189185.0,0.0,0.0,-0.41,87.1,0.39,13722034.67,0.0,1.0,3.0,8.0
2024-03-11 11:30:00-04:00,86.72,87.6,86.5,86.91,6303053.0,0.0,0.0,0.22,86.9,0.18,13879784.0,0.0,0.0,2.0,10.0
2024-03-11 12:30:00-04:00,86.94,87.5,86.24,86.73,5193146.0,0.0,0.0,-0.2,86.79,0.11,7895128.0,0.0,1.0,2.0,10.0
2024-03-11 13:30:00-04:00,86.75,86.8,85.71,86.41,5432802.0,0.0,0.0,-0.38,86.68,0.25,5643000.33,0.0,1.0,2.0,10.0
2024-03-11 14:30:00-04:00,86.41,86.89,85.18,85.55,6046900.0,0.0,0.0,-1.0,86.23,0.61,5557616.0,0.0,1.0,3.0,8.0
2024-03-11 15:30:00-04:00,85.52,86.14,85.35,85.79,4636272.0,0.0,0.0,0.29,85.92,0.44,5371991.33,0.0,0.0,2.0,10.0
